filename,brand,category,doc_type,trade,agent_text_chunks,agent_visual_assets,ingest_status,agent_zone
GreenStuf Deep Dive - GS Wool Building Product Information Requirements.pdf,GreenStuf,GreenStuf Deep Dive,Technical_Data_Sheet,duct_insulation,5,0,Text Only,Product Rep
GreenStuf Deep Dive - GS_NZ_BR_H1 Compliance Toolkit_Nov22_CD.pdf,GreenStuf,GreenStuf Deep Dive,Product_Guide,general_insulation,31,0,Text Only,Product Rep
GreenStuf Deep Dive - GS_NZ_DS_BIB_May20_SB.pdf,GreenStuf,GreenStuf Deep Dive,Technical_Data_Sheet,wall_insulation,9,0,Text Only,Product Rep
GreenStuf Deep Dive - GS_NZ_PIR Panel_digital.pdf,GreenStuf,GreenStuf Deep Dive,Technical_Data_Sheet,general_insulation,7,0,Text Only,Product Rep
GreenStuf Deep Dive - GS_NZ_WT_Certificate of Warranty_Oct23_CD_digital.pdf,GreenStuf,GreenStuf Deep Dive,Warranty,general_insulation,5,0,Text Only,Product Rep
GreenStuf Deep Dive - GS_PIR Install Instructions_digital.pdf,GreenStuf,GreenStuf Deep Dive,Installation_Guide,general_insulation,5,0,Text Only,Product Rep
GreenStuf Deep Dive - Garage Door Insulation Data Sheet.pdf,GreenStuf,GreenStuf Deep Dive,Technical_Data_Sheet,general_insulation,6,0,Text Only,Product Rep
GreenStuf Deep Dive - GreenStuf Product List.pdf,GreenStuf,GreenStuf Deep Dive,Product_Guide,duct_insulation,13,0,Text Only,Product Rep
GreenStuf Deep Dive - Masonry Wall Blanket Datasheet.pdf,GreenStuf,GreenStuf Deep Dive,Technical_Data_Sheet,masonry_insulation,11,0,Text Only,Product Rep
GreenStuf Deep Dive - Masonry Wall Blanket Install Instructions.pdf,GreenStuf,GreenStuf Deep Dive,Installation_Guide,masonry_insulation,3,0,Text Only,Product Rep
GreenStuf Deep Dive - Material Safety Datasheet.pdf,GreenStuf,GreenStuf Deep Dive,Technical_Data_Sheet,general_insulation,8,0,Text Only,Product Rep
GreenStuf Deep Dive - Phenolic Foam Board Certificate of Warranty.pdf,GreenStuf,GreenStuf Deep Dive,Warranty,duct_insulation,5,0,Text Only,Product Rep
GreenStuf Deep Dive - Phenolic Foam Board Data Sheet.pdf,GreenStuf,GreenStuf Deep Dive,Technical_Data_Sheet,duct_insulation,7,0,Text Only,Product Rep
