agent_zone,category,brand,filename,file_size_mb,ingest_status,text_chunks,visual_assets,db_source,storage_path
Product Rep,A_Structure,Abodo Wood,Technical-Data-Sheet-Vulcan-Panelling-Abodo-Wood.pdf,0.28,Ingested,7,0,Abodo Wood - Technical-Data-Sheet-Vulcan-Panelling-Abodo-Wood,A_Structure/Abodo_Wood/Technical_Data_Sheets/Technical-Data-Sheet-Vulcan-Panelling-Abodo-Wood.pdf
Product Rep,A_Structure,Abodo Wood,Technical-Data-Sheet-Vulcan-Screening-Abodo-Wood-New-Zealand.pdf,0.48,Ingested,11,0,Abodo Wood - Technical-Data-Sheet-Vulcan-Screening-Abodo-Wood-New-Zealand,A_Structure/Abodo_Wood/Technical_Data_Sheets/Technical-Data-Sheet-Vulcan-Screening-Abodo-Wood-New-Zealand.pdf
Product Rep,A_Structure,Abodo Wood,Technical-Data-Sheet-Vulcan-Smooth-Decking-Abodo-Wood.pdf,0.19,Ingested,9,0,Abodo Wood - Technical-Data-Sheet-Vulcan-Smooth-Decking-Abodo-Wood,A_Structure/Abodo_Wood/Technical_Data_Sheets/Technical-Data-Sheet-Vulcan-Smooth-Decking-Abodo-Wood.pdf
Product Rep,A_Structure,Abodo Wood,Thermally-Modified-Timber-Fact-Sheet-Abodo-Wood.pdf,0.31,Ingested,4,0,Abodo Wood - Thermally-Modified-Timber-Fact-Sheet-Abodo-Wood,A_Structure/Abodo_Wood/Brochures_Fact_Sheets/Thermally-Modified-Timber-Fact-Sheet-Abodo-Wood.pdf
Product Rep,A_Structure,Abodo Wood,Vulcan-25-Year-Warranty.pdf,0.22,Ingested,16,0,Abodo Wood - Vulcan-25-Year-Warranty,A_Structure/Abodo_Wood/Certificates_Warranties/Vulcan-25-Year-Warranty.pdf
Product Rep,A_Structure,Abodo Wood,Vulcan-Cladding-A4-Colour-Chart-NZ-Abodo.pdf,1.64,Ingested,1,0,Abodo Wood - Vulcan-Cladding-A4-Colour-Chart-NZ-Abodo,A_Structure/Abodo_Wood/Color_Finishes_Textures/Vulcan-Cladding-A4-Colour-Chart-NZ-Abodo.pdf
Product Rep,A_Structure,Abodo Wood,Vulcan-Screening-Design-Guide-Abodo-Wood.pdf,2.75,Ingested,36,0,Abodo Wood - Vulcan-Screening-Design-Guide-Abodo-Wood,A_Structure/Abodo_Wood/Guides_Manuals/Vulcan-Screening-Design-Guide-Abodo-Wood.pdf
Product Rep,A_Structure,Abodo Wood,WB10-138x20-Profile-Drawing-Abodo-Wood.pdf,0.43,Ingested,1,0,Abodo Wood - WB10-138x20-Profile-Drawing-Abodo-Wood,A_Structure/Abodo_Wood/Profile_Drawings/WB10-138x20-Profile-Drawing-Abodo-Wood.pdf
Product Rep,A_Structure,Abodo Wood,WB10-180x20mm-Profile-Drawing-Abodo-Wood.pdf,0.41,Ingested,1,0,Abodo Wood - WB10-180x20mm-Profile-Drawing-Abodo-Wood,A_Structure/Abodo_Wood/Profile_Drawings/WB10-180x20mm-Profile-Drawing-Abodo-Wood.pdf
Product Rep,A_Structure,Abodo Wood,WB12-138x20-Profile-Drawing-Abodo-Wood-Apr-18.pdf,0.41,Ingested,1,0,Abodo Wood - WB12-138x20-Profile-Drawing-Abodo-Wood-Apr-18,A_Structure/Abodo_Wood/Profile_Drawings/WB12-138x20-Profile-Drawing-Abodo-Wood-Apr-18.pdf
