brand,product,doc_type,codemark_id,branz_number,expiry_date,is_expired,status,bpir_status,scope_limitations
B_Enclosure,Master Brick and Block - Veneer Best Practice Guide May 2025,Unknown,,258,,UNKNOWN,CONDITIONAL,UNDECLARED,"for performing a subjective visual inspection 
of interior surfaces."
B_Enclosure,Metcom_7 - BPIS Building Product Information Sheet,Unknown,Certificat,,,UNKNOWN,CONDITIONAL,UNDECLARED,"unlined buildings 
only and buildings with importance level 1."
B_Enclosure,Metcom_930 - BPIS Building Product Information Sheet,Unknown,Certificat,,,UNKNOWN,CONDITIONAL,UNDECLARED,"unlined 
buildings only and buildings with importance level 1."
B_Enclosure,Metcom_965 - BPIS Building Product Information Sheet,Unknown,Certificat,,,UNKNOWN,CONDITIONAL,UNDECLARED,"unlined 
buildings only and buildings with importance level 1."
B_Enclosure,Metrib_760 - BPIS Building Product Information Sheet,Unknown,Certificat,,,UNKNOWN,CONDITIONAL,UNDECLARED,"unlined buildings 
only and buildings with importance level 1."
B_Enclosure,Midland Brick - Brick Veneer - Best Practice Guide 2025,Unknown,,258,,UNKNOWN,CONDITIONAL,UNDECLARED,"for performing a subjective visual 
inspection of interior surfaces."
B_Enclosure,Midland Brick - TB1 Two Storey Construction - (MASTER),Unknown,,2008,,UNKNOWN,CONDITIONAL,UNDECLARED,from this requirement.
B_Enclosure,NK Windows - BRANZ Appraisal aluPlast uPVC,Unknown,,1005,,UNKNOWN,CONDITIONAL,UNDECLARED,"for use as fire rated windows or where fire 
doors or smoke control doors are re"
B_Enclosure,Nu-Wall - BRANZ Appraisal 550 - Horizontal On Cavity Aug 202,Unknown,,550,,UNKNOWN,CONDITIONAL,UNDECLARED,"by detailing joinery and wall interfaces as 
shown in the Technical Literature."
B_Enclosure,Nu-Wall - BRANZ Appraisal 556 - Vertical Direct Fix Aug 2025,Unknown,,556,,UNKNOWN,CONDITIONAL,UNDECLARED,"by detailing joinery and wall interfaces as 
shown in the Technical Literature."
B_Enclosure,Nu-Wall - BRANZ Appraisal 870 - Vertical On Cavity Aug 2025,Unknown,,870,,UNKNOWN,CONDITIONAL,UNDECLARED,"by detailing joinery and wall interfaces as 
shown in the Technical Literature."
B_Enclosure,RCS - Graphex_Facade - BRANZ - BRANZ Appraisal 633,Unknown,,633,,UNKNOWN,CONDITIONAL,UNDECLARED,"by detailing joinery and wall interfaces as 
shown in the Technical Literature."
B_Enclosure,RCS - Integra_Facade - BRANZ - BRANZ Appraisal 681,Unknown,,681,,UNKNOWN,CONDITIONAL,UNDECLARED,"by detailing joinery and wall interfaces as 
shown in the Technical Literature."
B_Enclosure,RCS - Masonry_Render - BRANZ - BRANZ Appraisal 998,Unknown,,998,,UNKNOWN,CONDITIONAL,UNDECLARED,"by detailing joinery and wall interfaces as 
shown in the Technical Literature."
B_Enclosure,Shadowclad - Cavity Construction - Installation Guide V2,Unknown,,764,,UNKNOWN,CONDITIONAL,UNDECLARED,a height of two storeys.
B_Enclosure,Steel and Tube - Custom Orb - Custom Orb Product Technical S,Unknown,,2015,,UNKNOWN,CONDITIONAL,UNDECLARED,Extra High
B_Enclosure,Steel and Tube - Hi Rib - Hi Rib Product Technical Statement,Unknown,,2015,,UNKNOWN,CONDITIONAL,UNDECLARED,Extra High
B_Enclosure,Steel and Tube - Kliplok - Kliplok Product Technical Stateme,Unknown,,2015,,UNKNOWN,CONDITIONAL,UNDECLARED,Extra High
B_Enclosure,Steel and Tube - Plumbdek - Plumbdek Product Technical State,Unknown,,2015,,UNKNOWN,CONDITIONAL,UNDECLARED,Extra High
B_Enclosure,Steel and Tube - ST7 - ST7 Product Technical Statement Nov 2,Unknown,,2015,,UNKNOWN,CONDITIONAL,UNDECLARED,Extra High
B_Enclosure,Steel and Tube - ST900 - ST900 Product Technical Statement N,Unknown,,2015,,UNKNOWN,CONDITIONAL,UNDECLARED,Extra High
B_Enclosure,Steel and Tube - ST963 - ST963 Product Technical Statement N,Unknown,,2015,,UNKNOWN,CONDITIONAL,UNDECLARED,Extra High
B_Enclosure,Steel and Tube - Trimform - Trimform Product Technical State,Unknown,,2015,,UNKNOWN,CONDITIONAL,UNDECLARED,Extra High
B_Enclosure,Steel and Tube - Trimline - Trimline Product Technical State,Unknown,,2015,,UNKNOWN,CONDITIONAL,UNDECLARED,Extra High
